,0,1,2,3,4,5,6,7,8,9
10 Years,"""Wasteland"" by 10 Years:
    Change my attempt, good intentions
    
    Crouched over, you were not there, living in fear
    But signs were...","""Fix Me"" by 10 Years:
    It's taken a lifetime to lose my way
    A lifetime of yesterdays
    All the wasted time on my hands
    Turns ...","""Novacaine"" by 10 Years:
    With dirt on your knees
    And blood in your teeth
    You want life to lead you to believe in something
    Bu...","""The Shift"" by 10 Years:
    I didn't feel the change but don't feel the same, I never knew a shift was happening
    The scenery jus...","""Beautiful"" by 10 Years:
    Beauty over wisdom to fit in with their styles
    Your Cinderella story's for a price
    Vanity's a busine...","""The Unknown"" by 10 Years:
    How did we end up here
    Sifting through our own ashes?
    Our fires burned brighter
    We were a beautiful ...","""Shoot It Out"" by 10 Years:
    Shoot it, shoot it out 'cause they want it, want it now, now
    Shoot it, shoot it out 'cause they want...","""So Long Goodbye"" by 10 Years:
    Keep changing your mind
    Like clouds in the sky
    Love me when your high
    Leave me when you cry
    I know i...","""Waiting"" by 10 Years:
    Here I am, alone again
    Lost inside my own head
    And I don't know how to find my way out
    So I hide all...","""Fix Me [Acoustic]"" by 10 Years:
    It's taken a lifetime to lose my way
    A lifetime of yesterdays
    All the wasted time on my hands
    Turns ..."
100 gecs,"""​money machine"" by 100 gecs:
    Hey, you little piss baby
    You think you're so fucking cool? Huh?
    You think you're so fucking tough?
    ...","""​hand crushed by a mallet"" by 100 gecs:
    I was tryin' to find a way to kill time
    I didn't even get to tell you goodbye
    I was tryin' to find a...","""​stupid horse"" by 100 gecs:
    Pick it up!
    
    Bet my money on a stupid horse, I lost that
    So I ran out to the track to get my cash ba...","""​ringtone"" by 100 gecs:
    My boy's got his own ringtone
    It's the only one I know, it's the only one I know
    My boy's got his ow...","""One Step Closer (100 gecs Reanimation)"" by Linkin Park:
    I cannot take this anymo-o-o-o-o-o-o-o-ore
    Saying everything I've said befo-o-o-o-o-o-o-o-ore
    All th...","""New Music Friday 2/28/20"" by Spotify:
    Lady Gaga - Stupid Love
    Lil Baby - Live Off My Closet (feat. Future)
    SZA - The Other Side (from Trol...","""New Music Friday 07/10/20"" by Spotify:
    Juice WRLD - Wishing Well
    Summer Walker & PARTYNEXTDOOR - My Affection
    Kane Brown - Be Like That (fe...","""800db cloud"" by 100 gecs:
    He said, ""I love you,"" on the plane
    I said, ""I love you too""
    He said, ""Everything is different now, ...","""NEVER MET! (100 gecs Remix)"" by CMTEN:
    Ayy
    Ayy, yeah
    Oh, yeah
    Ayy, ayy, ayy, ayy
    
    You know I missed you from the very day you went away
    I f...","""​bloodstains"" by 100 gecs:
    I'm just staring at my empty cans that sprawl across my floor
    I'm smoking dope in empty cans I got f..."
1927,"""SOSAD2112's UTTERLY SAVAGE MUSIC COLLECTION"" by ​sosad2112:
    CDsAC/DC
    - Back in Black (1980)
    - For Those About to Rock We Salute You (1981)
    - The Razors Edge (19...","""SCP Series"" by The SCP Foundation:
    List of SCPs
    001 to 099
    SCP-001 - Awaiting De-classification (Blocked)
    SCP-002 - The ""Living"" Room
    S...","""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""McCutcheon v. Federal Election Commission"" by The Supreme Court of the United States:
    There is no right more basic in our democracy than the right to participate in electing our politica...",,"""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Trialia’s Physical Music Collection (479+) [Work In Progress]"" by Trialia:
    CDs: 467 (individual non-classical artists)ABBA
    - Gold: Greatest Hits (1992)
    Ace of Base
    - Flowers (...","""(Pannout)"" by Bitty.ru:
    (Intro)
    ""If you don't get that bullshit outta my face bitch""
    
    Mind of a menace, Gods my witness
    Sip ...","""Rollback"" by Noam Chomsky:
    The elections of 1994 are described as a ""political earthquake,"" a ""triumph of conservatism"" that re...","""Foreign Policy of Great Britain"" by Margaret Thatcher:
    As I speak today, 1979 - and with it the 1970s-- has less than two weeks to run. I myself will have ..."
2 Chainz,"""It’s a Vibe"" by 2 Chainz:
    Yeah, hahaha
    Yeah, ooh
    M-M-M-Murda
    Yah
    
    That's a vibe (that's a vibe)
    She wanna vibe, yeah (wanna vi...","""Grey Area"" by 2 Chainz:
    Jay The Great, Bass Kickin Like A Body In Da Trunk
    Toni
    Aw man, aw
    Ooh, wow
    
    I just sat up on the st...","""We Own It (Fast & Furious)"" by 2 Chainz & Wiz Khalifa:
    It's Young Khalifa, man
    2 Chainz!
    
    Money's the motivation, money's the conversation
    You on vacation,...","""4 AM"" by 2 Chainz:
    Yeah, yeah, yeah
    M-M-M-Murda
    Yeah, yeah
    Damn right, bro
    
    4 AM, I'm just gettin' started
    For my birth...","""New Music Friday 02/09/18"" by Spotify:
    ScHoolboy Q, 2 Chainz & Saudi - X
    Marshmello & Anne-Marie - FRIENDS
    BlocBoy JB - Look Alive feat. Dr...","""Champions"" by Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo & Desiigner:
    (Quavo!)
    Lifestyle on camera (Camera)
    Hundred thousand dollar chandelier (Chandelier)
    They tried to ...","""New Music Friday 03/24/17"" by Spotify:
    Kendrick Lamar - The Heart Part 4
    David Guetta - Light My Body Up feat. Nicki Minaj & Lil Wayne
    ZAYN...","""RapCaviar 2/23/18"" by Spotify:
    🎥: Trippie Redd - Dark Knight Dummo (ft. Travis Scott)
    🎥: FIRST: YBN Nahmir
    🎥: Honorable C.N.O.T.E. ...","""This Is 2 Chainz"" by Spotify:
    1. 2 Chainz- Quarantine Thick (feat. Mulatto)
    2. 2 Chainz- Dead Man Walking (feat. Future)
    3. ScHool...","""Feel a Way"" by 2 Chainz:
    Okay
    Alright
    
    A nigga never learned to save
    I be ballin' anyway (I be ballin' any)
    God don't make no..."
20/20,"""The Touch"" by Tshego:
    Whoo! Whoo!
    Yeah, yeah, yeah
    Okay, okay, okay, okay, okay, aye!
    (Whoo) Whoo!
    These niggas can't.. (T...","""Scellé Part. 2"" by Freeze Corleone:
    Ekip, ekip, ekip
    MMS, LDO, NRM, 667, LZ (baw)
    667, 69, Corleone, Ashe
    20-20 : Menace Fantôme, pétass...","""RapCaviar 3/19/21"" by Spotify:
    1. Drake- What's Next
    2. Lil Tjay- Headshot (feat. Polo G & Fivio Foreign)
    3. Pooh Shiesty- Back In ...","""Ranking Page: 50 Best Albums & 50 Best Songs of 2019"" by Genius:
    This is the ranking page for the 2019 Year End Lists. The initial ordering for albums and songs is b...","""Music Library"" by Andrew Harvie:
    Navigation
    A | B | C | D | E | F | G | H | I | J | K | L | M | N | O | P | Q | R | S | T | U | V | W...","""RapCaviar 4/2/21"" by Spotify:
    1. Lil Tjay- Run It Up (feat. Offset & Moneybagg Yo)
    2. Drake- What's Next
    3. Pooh Shiesty- Back In ...","""Lil Baby Discography List"" by Lil Baby:
    Projects:2017:Perfect Timing↗
    Harder Than Hard↗
    2 The Hard Way↗
    Too Hard↗
    2018:Harder Than Ever↗
    Dri...","""Billy GilmanELI"" by Meek Milla:
    Infinite
    W.E.G.O. (Interlude)
    It's Ok
    313
    Tonight
    Maxine
    Open Mic
    Never 2 Far
    Searchin'
    Backstabber
    ...","""This Is Pop Smoke"" by Spotify:
    1. Pop Smoke- AP (Music from the film Boogie)
    2. Pop Smoke- What You Know Bout Love
    3. Pop Smoke- He...","""5HRS To Cleveland"" by Airplane James:
    5hrs over Cleveland
    Let me air my grievance
    You only call me when you need me
    Love me when you see m..."
21 Savage,"""RapCaviar 2/12/21"" by Spotify:
    1. DaBaby- Masterpiece
    2. Pooh Shiesty- Back In Blood (feat. Lil Durk)
    3. Lil Baby- On Me
    4. Nipsey ...","""RapCaviar 2/12/21"" by Spotify:
    1. DaBaby- Masterpiece
    2. Pooh Shiesty- Back In Blood (feat. Lil Durk)
    3. Lil Baby- On Me
    4. Nipsey ...","""Opp Stoppa (Remix)"" by YBN Nahmir:
    (21, pussy, pussy) Shh, shh, sheesh
    Ayy, ayy, ayy, all these pancake ass niggas, weird ass niggas, m...","""RapCaviar 12/22/17"" by Spotify:
    Cardi B - Bartier Cardi (ft. 21 Savage)
    Offset & Metro Boomin - Ric Flair Drip
    Travis Scott & Quavo ...",,"""Insanul Ahmed’s 50 Best Albums & 80 Best Songs of 2018"" by Incilin:
    BEST ALBUMS OF 2018
    1.	Denzel Curry, TA1300
    2.	Cardi B, Invasion of Privacy
    3.	Sheck Wes, MUDBOY
    4.	...","""X"" by 21 Savage & Metro Boomin:
    Ten bad bitches in a mansion
    Wrist on Milly Rock, them diamonds on me dancin'
    When you workin' hard,...","""Lilflexy’s Favorite Rap Songs of 2021"" by Genius Users:
    Lil Tjay, Polo G, & Fivio Foreign - Headshot
    YBN Nahmir - Opp Stoppa (Remix) ft. 21 Savage
    Only The ...","""Put Me On..."" by Rap Genius Users:
    A-Z Index
    
    A
    B
    C
    D
    E
    F
    G
    H
    I
    J
    K
    L
    M
    
    N
    O
    P
    Q
    R
    S
    T
    U
    V
    W
    X
    Y
    Z
    Other¡Mayday!
    116 Clique
    1600J
    1yyuk...",
24hrs,"""UCLA"" by RL Grime:
    She just moved to LA
    Go to UCLA
    And she drive a Maserati
    Damn she got a body
    She be tryna party
    She ...","""Best New Weekly EDM/Pop Releases 2018"" by ​itischris:
    Week 51
    Steve Angello - ""Nothing Scares Me Anymore (Corey James & David Pietras Remix)""
    Emma Sameth ...","""Leaving Song"" by Socialburn:
    Forget the things i said last night cause i was wrong and you were right i can't believe the things ...","""24hrs"" by Soutjay:
    One more day
    To fix our mistakes
    Tell me what's wrong
    Don't hide your pain
    We need to mend this
    Don'...",,,,"""June 2020 Singles Release Calendar"" by Genius:
    6/1
    Conway the Machine - ""Front Lines""
    Dan Bull - ""Gamers Without Borders""
    Eric Bellinger - ""Enough""...","""Make Moves"" by Rockie Fresh:
    Hotel Four Seasons
    24hrs
    Lifestyle 
    And you know it's Rockie Fresh
    We don't be talking I ain't got t...","""Take Time"" by Roy Woods:
    M-M-M-Murda
    
    We need to take time (Time)
    Take time, yeah
    We need to take time (Time)
    If I take time,..."
24kGoldn,"""Today’s Top Hits 9/11/20"" by Spotify:
    1. Tata McRae- You Broke Me First
    2. 24kGoldn- Mood (feat. iann dior)
    3. BTS- Dynamite
    4. Cardi B- W...","""This Is 24kGoldn"" by Spotify:
    1. 24kGoldn- Mood (feat. iann dior)
    2. Clean Bandit & Mabel- Tick Tock (feat. 24kGoldn)
    3. 24kGoldn-...","""New Music Friday 11/06/20"" by Spotify:
    TRAGIC (feat. Youngboy Never Broke Again & Internet Money) - The Kid LAROI
    Young Wheezy (with Gunna)...","""CITY OF ANGELS"" by 24kGoldn:
    I sold my soul to the devil for designer
    They said, ""Go to hell,"" but I told 'em I don’t wanna
    If yo...","""New Music Friday 12/04/20"" by Spotify:
    Errbody - Lil Baby
    Teach Me How To Love - Shawn Mendes
    Real Shit (with benny blanco) - Juice WRLD
    B....","""VALENTINO"" by 24kGoldn:
    I don't want a valentine, I just want Valentino
    I just want the neck, I poke her face like a casino
    ...","""RapCaviar 4/2/21"" by Spotify:
    1. Lil Tjay- Run It Up (feat. Offset & Moneybagg Yo)
    2. Drake- What's Next
    3. Pooh Shiesty- Back In ...","""3, 2, 1"" by 24kGoldn:
    Three sides to the story
    Yours and mine and the goddamn truth, girl
    Two lies that you told me
    Say yo...","""This Is 24kGoldn"" by Spotify:
    1. 24kGoldn- Mood (feat. iann dior)
    2. Clean Bandit & Mabel- Tick Tock (feat. 24kGoldn)
    3. 24kGoldn-...","""Love Or Lust"" by 24kGoldn:
    It's love or it's lust, we just need to be clear
    'Cause if you're in love, then I shouldn't be here
    ..."
27CLUB,,,,"""The Dividends"" by Josh Sallee:
    Oh... man a whole lot is different for me
    It got routine
    So I was trying to give you a different sto...","""Drinking Problem"" by Arizona Zervas:
    She said I got a drinking problem
    But I don't got no problem drinking, though
    I solve my problems wi...","""Black Rose"" by YGK The Assassin:
    There deference in black artists and wack artist
    Kendrick said that
    People think 16 is easy like cat...","""Ad-libs Explained"" by Rap Genius:
    (Please add in alphabetical order, first by artist, then by ad-lib, to maintain a clean and concise ...","""Fast Lane"" by 27CLUB:
    I leave my feelings in the ashtray (Ashtray)
    Smoke away my problems on a bad day (Bad day)
    I can't f...","""September 2020 Singles Release Calendar"" by Genius:
    9/1
    Actress - ""Walking Flames"" ft. Sampha
    Allan Kingdom - ""EXCITED""
    Gabi DeMartino - ""Champagne Drea...","""September 2020 Singles Release Calendar"" by Genius:
    9/1
    Actress - ""Walking Flames"" ft. Sampha
    Allan Kingdom - ""EXCITED""
    Gabi DeMartino - ""Champagne Drea..."
2KBABY,"""Like This"" by 2KBABY & Marshmello:
    'Mello made it right
    
    I been through too much just to live like this
    Double up my cup, you can't sip...","""Old Streets"" by 2KBABY:
    Yeah, ooh
    Yeah, yeah
    
    That's my brother
    So if you crossin' him you crossin' me
    Fuck all these hoes, ...","""MAD"" by 2KBABY:
    Man, I use to be a sad cat, I want my dad back
    Now a nigga having flashbacks, we never had that
    This...","""OLD STREETS (Remix)"" by 2KBABY:
    Yeah, ooh
    Yeah, yeah
    
    That's my brother
    So if you crossin' him you crossin' me
    Fuck all these hoes, ...","""Dreaming"" by 2KBABY:
    Danny, that's a big order
    Yeah, yeah, yeah
    Mmh, yeah, yeah, mmh
    
    They gon' try to dub you when they ...","""FAXTS"" by 2KBABY:
    Mmh, mmh, yeah, yeah
    Mmh, yeah, yeah, yeah
    I guess you forgot my number, yeah
    Bet you'll never find ...","""2kizzy Flow"" by 2KBABY:
    Uh, uh, uh, uh, uh (Tune up)
    Man, this shit so greedy though
    This that new 2kizzy flow (No way, Hoza...","""HALF A MILLI"" by 2KBABY:
    Half a milli' in the bank, yeah
    Half a milli' in the bank, yeah
    Half a milli' in the bank, yeah
    
    Hal...","""Rounds"" by 2KBABY:
    I don't understand it ('Stand it)
    Know I cause a lot of damage, yeah
    Fall in love, I never planned i...","""New Music Friday 4/10/20"" by Spotify:
    Twenty One Pilots - Level of Concern
    Selena Gomez - Boyfriend
    Tory Lanez - Stupid Again
    Oliver Tree ..."
