name,i,the,you,to,and,a,me,it,not,in,my,is,of,your,that,do,on,are,we,am,will,all,for,no,be,have,love,so,know,this,but,with,what,just,when,like,now,que,time,can,come,de,there,go,up,oh,la,one,they
Neffa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Billy Idol,8.0,6.0,22.0,4.0,0.0,3.0,12.0,1.0,1.0,2.0,11.0,2.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,40.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
Diana Krall,2.0,15.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,7.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,6.0,9.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Clifford T. Ward,6.0,8.0,13.0,2.0,1.0,2.0,5.0,6.0,0.0,1.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
Soulfly,2.0,0.0,7.0,0.0,2.0,1.0,0.0,4.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Warren Zevon,1.0,31.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0
Write This Down,4.0,7.0,13.0,11.0,4.0,9.0,1.0,2.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,4.0,0.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Diablo Swing Orchestra,0.0,14.0,8.0,4.0,7.0,9.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Kingdom Come,1.0,3.0,15.0,3.0,0.0,5.0,0.0,0.0,13.0,3.0,0.0,1.0,0.0,4.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
Gemelli Diversi,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tiësto vs. Cary Brothers,7.0,3.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Eduardo Aute,5.0,7.0,6.0,1.0,7.0,0.0,0.0,2.0,1.0,2.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Retard-O-Bot,9.0,0.0,15.0,8.0,8.0,0.0,3.0,10.0,20.0,0.0,3.0,3.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,6.0,6.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0,8.0,0.0,0.0,0.0
Mark Wills,10.0,11.0,4.0,1.0,17.0,9.0,17.0,3.0,1.0,12.0,5.0,4.0,12.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Carlos,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Fine China,5.0,1.0,4.0,5.0,6.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacilos,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
The Bonzo Dog Band,1.0,0.0,2.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link 80,13.0,1.0,0.0,4.0,9.0,4.0,5.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
White Willow,3.0,8.0,0.0,2.0,8.0,4.0,1.0,3.0,0.0,3.0,2.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Red Animal War,8.0,5.0,1.0,6.0,4.0,1.0,3.0,5.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Zen Café,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ryan Harris,3.0,11.0,6.0,9.0,5.0,2.0,8.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Morrissey,3.0,16.0,13.0,4.0,4.0,1.0,2.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,8.0,6.0
Pestilence,2.0,11.0,2.0,7.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Biffy Clyro,18.0,18.0,12.0,2.0,3.0,3.0,10.0,10.0,8.0,1.0,2.0,3.0,1.0,5.0,0.0,6.0,1.0,3.0,0.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Johnny Cash,3.0,8.0,4.0,4.0,4.0,3.0,6.0,0.0,3.0,4.0,6.0,5.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
New York Rel-X,9.0,2.0,2.0,9.0,9.0,5.0,5.0,5.0,0.0,1.0,1.0,2.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,10.0,2.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foals,0.0,32.0,22.0,17.0,10.0,0.0,0.0,12.0,12.0,3.0,0.0,11.0,15.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0
Visací zámek,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryn Christopher,29.0,3.0,31.0,4.0,3.0,1.0,16.0,2.0,1.0,2.0,3.0,0.0,10.0,1.0,2.0,0.0,5.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
Thursday,1.0,13.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,14.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
The Cult,6.0,2.0,0.0,1.0,5.0,4.0,1.0,5.0,1.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Falco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operator Please,7.0,5.0,3.0,1.0,0.0,8.0,2.0,15.0,2.0,1.0,5.0,6.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,12.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Cranberries,21.0,0.0,27.0,1.0,1.0,0.0,0.0,18.0,8.0,5.0,9.0,1.0,1.0,0.0,3.0,18.0,2.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Scandinavian Music Group,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martina McBride,9.0,2.0,12.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael Cera & Ellen Page,9.0,8.0,13.0,2.0,2.0,3.0,3.0,1.0,8.0,9.0,1.0,3.0,2.0,0.0,0.0,7.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bone Thugs-n-Harmony,12.0,34.0,47.0,14.0,12.0,31.0,4.0,18.0,15.0,12.0,0.0,7.0,6.0,7.0,3.0,11.0,5.0,6.0,2.0,1.0,5.0,8.0,2.0,4.0,21.0,2.0,2.0,7.0,5.0,3.0,10.0,7.0,7.0,2.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,12.0
Russ Taff,19.0,10.0,14.0,5.0,8.0,1.0,11.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
Brandy,40.0,27.0,27.0,11.0,4.0,6.0,8.0,3.0,4.0,2.0,3.0,4.0,3.0,0.0,3.0,3.0,1.0,9.0,2.0,12.0,0.0,18.0,7.0,0.0,1.0,2.0,2.0,0.0,1.0,5.0,4.0,1.0,7.0,2.0,1.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cornelis Vreeswijk,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazilian Girls,14.0,6.0,0.0,3.0,1.0,4.0,0.0,4.0,3.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Gilberto Gil,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marta Sánchez,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Raging Speedhorn,2.0,2.0,11.0,6.0,5.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0
The Chariot,1.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eläkeläiset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Green,0.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Premiata Forneria Marconi,2.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Mark Lanegan,4.0,3.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Nouvelle Vague,4.0,13.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The White Tie Affair,56.0,15.0,33.0,13.0,4.0,4.0,13.0,19.0,10.0,1.0,5.0,10.0,0.0,1.0,4.0,3.0,0.0,5.0,1.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,0.0,0.0,4.0,8.0,3.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,0.0
Carla Bozulich,16.0,1.0,0.0,3.0,0.0,0.0,1.0,6.0,6.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Eastmountainsouth,13.0,10.0,3.0,3.0,4.0,2.0,4.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Frenzal Rhomb,20.0,9.0,19.0,7.0,5.0,9.0,0.0,1.0,12.0,2.0,3.0,0.0,8.0,8.0,3.0,7.0,0.0,5.0,0.0,3.0,2.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
